Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 13:57:25,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",100000 - 200000,Yes,Maybe,4,Yes
10/12/2020 14:06:36,Male,18-25,Colombo,Degree,Technology related,between 100000 - 250000,once a week,Yes,peoples bank,from the bank,"transfer money to other accounts, check balance",10000 -25000,Maybe,No,3,Maybe
10/12/2020 14:17:24,Female,18-25,Colombo,Degree,Student,Not Applicable,once a month,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,5,Yes
10/12/2020 14:20:03,Male,45-60,Colombo,Degree,Self employed,between 50000 - 100000,daily,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 14:20:07,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",100000 - 200000,Yes,No,4,Yes
10/12/2020 14:20:45,Male,25-30,Colombo,Degree,Management related,less than 20000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,5,Yes
10/12/2020 14:20:47,Male,25-30,Kandy,Degree,Self employed,between 20000 - 50000,once every few months,Yes,Commercial Bank,,,N/A,Maybe,Maybe,3,Yes
10/12/2020 14:20:54,Male,18-25,Kurunegala,Degree,Student,less than 20000,once every few months,Yes,Other,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",below 5000,Yes,No,4,Yes
10/12/2020 14:21:36,Male,18-25,Colombo,Diploma,Marketing related,between 50000 - 100000,once a month,Yes,Other,from the bank,transfer money to other accounts,25000 - 50000,Yes,No,4,Yes
10/12/2020 14:24:36,Male,25-30,Colombo,Diploma,Technology related,between 100000 - 250000,once every few months,Yes,NTB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,4,Yes
10/12/2020 14:26:09,Male,18-25,Colombo,Degree,Student,less than 20000,once every few months,Yes,NTB,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,4,Yes
10/12/2020 14:29:21,Female,25-30,Jaffna,Degree,Technology related,between 50000 - 100000,once every few months,Maybe,HNB,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,No,3,Maybe
10/12/2020 14:29:52,Male,18-25,Gampaha,Degree,Technology related,between 50000 - 100000,once every few months,Yes,BOC,from the bank,"pay bills, check balance, recharge your phone, for credit card",10000 -25000,Maybe,Yes,4,Yes
10/12/2020 14:32:33,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Yes,No,3,Maybe
10/12/2020 14:35:30,Female,18-25,Gampaha,A/L,Management related,between 20000 - 50000,once a month,Yes,HNB,from the bank,transfer money to other accounts,N/A,Maybe,No,3,Yes
10/12/2020 14:36:01,Male,25-30,Galle,Degree,Technology related,between 100000 - 250000,once every few months,No,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",100000 - 200000,Maybe,No,4,Yes
10/12/2020 14:36:50,Female,18-25,Colombo,Diploma,Self employed,between 20000 - 50000,once a week,Yes,Commercial Bank,friend,transfer money to other accounts,10000 -25000,Yes,No,5,Yes
10/12/2020 14:37:02,Female,18-25,Colombo,Diploma,Self employed,between 20000 - 50000,once a week,Yes,Commercial Bank,friend,transfer money to other accounts,10000 -25000,Yes,No,5,Yes
10/12/2020 14:37:30,Male,25-30,Kalutara,Degree,Technology related,above 250000,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",100000 - 200000,Yes,Maybe,4,Maybe
10/12/2020 14:38:19,Female,25-30,Galle,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,5,Yes
10/12/2020 14:41:01,Male,30-35,Colombo,Degree,Management related,between 20000 - 50000,once every few months,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance",below 5000,Yes,Yes,4,Yes
10/12/2020 14:41:13,Male,25-30,Matara,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",100000 - 200000,Yes,No,5,Yes
10/12/2020 14:41:16,Male,18-25,Kalutara,Degree,Technology related,between 100000 - 250000,once every few months,Yes,NTB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Maybe,No,5,Yes
10/12/2020 14:41:46,Male,18-25,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"transfer money to other accounts, check balance, for credit card",10000 -25000,Maybe,No,4,Yes
10/12/2020 14:42:05,Female,18-25,Jaffna,Degree,Student,Not Applicable,never,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Maybe,No,3,Maybe
10/12/2020 14:42:17,Female,25-30,Gampaha,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Other,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Maybe,No,4,Yes
10/12/2020 14:42:18,Male,18-25,Batticaloa,Degree,Student,Not Applicable,once every few months,Yes,NTB,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,No,Maybe,4,Yes
10/12/2020 14:42:32,Male,25-30,Colombo,Degree,Other profession with degree,between 50000 - 100000,once a week,No,,,,,,,,
10/12/2020 14:42:48,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once a week,Yes,BOC,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,4,Yes
10/12/2020 14:43:26,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once a month,No,Commercial Bank,from the bank,"pay bills, check balance, recharge your phone, for credit card",N/A,N/A,N/A,N/A,N/A
10/12/2020 14:44:57,Female,25-30,Kandy,Degree,Other profession with degree,between 50000 - 100000,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,3,Maybe
10/12/2020 14:45:45,Male,18-25,Colombo,Diploma,Self employed,between 20000 - 50000,once a month,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, recharge your phone",5000 -10000,Maybe,No,5,Yes
10/12/2020 14:47:41,Male,18-25,Colombo,Degree,Other profession with degree,between 20000 - 50000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 14:47:53,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Yes,No,3,Maybe
10/12/2020 14:47:59,Female,30-35,Gampaha,Degree,Technology related,between 50000 - 100000,once every few months,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 14:49:15,Male,25-30,Kalutara,Diploma,Student,Not Applicable,once every few months,Yes,sampath,advertisement,"pay bills, check balance, recharge your phone",10000 -25000,Yes,No,4,Yes
10/12/2020 14:49:16,Male,25-30,Kalutara,Degree,Technology related,between 20000 - 50000,once a month,Yes,NTB,friend,"transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Yes
10/12/2020 14:49:31,Male,18-25,Badulla,Degree,Other profession with degree,between 100000 - 250000,once a month,No,Other,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Maybe,N/A,3,Maybe
10/12/2020 14:51:01,Male,18-25,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Maybe,No,3,Maybe
10/12/2020 14:51:15,Male,18-25,Jaffna,Diploma,Self employed,less than 20000,never,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,5,Yes
10/12/2020 14:51:19,Male,18-25,Jaffna,Diploma,Self employed,less than 20000,never,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,5,Yes
10/12/2020 14:51:23,Male,18-25,Jaffna,Degree,Student,less than 20000,once every few months,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 14:51:28,Male,18-25,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,Commercial Bank,advertisement,"transfer money to other accounts, check balance",below 5000,Yes,No,4,Maybe
10/12/2020 14:51:37,Female,25-30,Colombo,Diploma,Self employed,between 20000 - 50000,once every few months,No,N/A,N/A,pay bills,N/A,Maybe,Maybe,3,Maybe
10/12/2020 14:52:08,Male,25-30,Colombo,Degree,Other profession with degree,between 50000 - 100000,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,4,Yes
10/12/2020 14:52:24,Male,25-30,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,Other,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",25000 - 50000,Maybe,No,4,Maybe
10/12/2020 14:52:34,Male,25-30,Kurunegala,Degree,Technology related,between 50000 - 100000,once every few months,Yes,NTB,N/A,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,5,Yes
10/12/2020 14:53:41,Male,18-25,Colombo,Degree,Management related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Maybe,No,4,Yes
10/12/2020 14:54:15,Female,25-30,,Degree,Other profession with degree,between 20000 - 50000,once a month,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,4,Yes
10/12/2020 14:54:43,Female,18-25,Colombo,A/L,other,between 20000 - 50000,daily,Yes,Other,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,5,Yes
10/12/2020 14:54:59,Male,18-25,Kegalle,Degree,Student,less than 20000,once a week,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance",below 5000,Maybe,Maybe,3,Yes
10/12/2020 14:56:16,Female,18-25,Colombo,Diploma,Other profession with degree,between 20000 - 50000,once every few months,Yes,sampath,from the bank,"transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,Maybe,4,Maybe
10/12/2020 14:57:09,Male,25-30,Kurunegala,Degree,Student,Not Applicable,once a month,No,BOC,friend,"check balance, for credit card",5000 -10000,Maybe,N/A,N/A,N/A
10/12/2020 14:58:21,Male,25-30,Colombo,Degree,Technology related,between 20000 - 50000,once a week,Yes,sampath,advertisement,"transfer money to other accounts, check balance",5000 -10000,Maybe,No,4,No
10/12/2020 14:58:58,Male,18-25,Vavuniya,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Seylan Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,No,Maybe,3,No
10/12/2020 15:00:40,Female,18-25,Colombo,Degree,Technology related,between 50000 - 100000,never,No,N/A,N/A,N/A,below 5000,N/A,N/A,N/A,N/A
10/12/2020 15:01:07,Male,18-25,Ratnapura,Degree,Student,Not Applicable,once every few months,Yes,BOC,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,5,Yes
10/12/2020 15:02:33,Male,18-25,Colombo,Degree,Other profession with degree,between 50000 - 100000,never,Yes,Commercial Bank,Form their website,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Maybe,Maybe,3,Maybe
10/12/2020 15:02:36,Female,25-30,Gampaha,Degree,Technology related,less than 20000,once a month,Yes,Commercial Bank,from the bank,check balance,N/A,Yes,No,5,Yes
10/12/2020 15:02:45,Male,18-25,Jaffna,Degree,Student,Not Applicable,never,Yes,peoples bank,from the bank,recharge your phone,below 5000,Yes,No,5,Yes
10/12/2020 15:03:13,Female,18-25,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,5,Yes
10/12/2020 15:06:58,Male,18-25,Colombo,Degree,Technology related,between 20000 - 50000,once a week,No,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Yes
10/12/2020 15:09:44,Female,25-30,Jaffna,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",100000 - 200000,Maybe,No,4,Yes
10/12/2020 15:09:51,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once a month,Yes,peoples bank,from the bank,check balance,N/A,Maybe,Maybe,4,Maybe
10/12/2020 15:11:31,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes
10/12/2020 15:14:55,Male,18-25,Mullaitivu,Degree,Student,Not Applicable,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,Yes,5,Yes
10/12/2020 15:16:21,Male,18-25,Jaffna,A/L,Student,Not Applicable,once every few months,No,Commercial Bank,N/A,pay bills,below 5000,Yes,No,2,Yes
10/12/2020 15:18:52,Male,18-25,Kalutara,A/L,Technology related,between 20000 - 50000,never,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes
10/12/2020 15:20:29,Male,25-30,Colombo,A/L,Technology related,between 20000 - 50000,once a month,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance",25000 - 50000,Yes,No,5,Yes
10/12/2020 15:22:06,Female,25-30,Badulla,Diploma,Student,Not Applicable,never,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 15:22:41,Male,25-30,Jaffna,O/L,Marketing related,between 20000 - 50000,once a week,No,sampath,friend,check balance,N/A,Maybe,Maybe,3,Yes
10/12/2020 15:25:50,Female,25-30,Colombo,Diploma,other,less than 20000,once every few months,Yes,peoples bank,from the bank,check balance,below 5000,Maybe,No,3,Yes
10/12/2020 15:26:55,Female,25-30,Colombo,Degree,Other profession with degree,between 20000 - 50000,once a month,Yes,BOC,friend,"pay bills, check balance, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 15:32:11,Female,18-25,Colombo,Diploma,other,less than 20000,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,2,Yes
10/12/2020 15:33:10,Male,25-30,Colombo,Degree,Self employed,between 50000 - 100000,once every few months,Yes,Other,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Maybe,Maybe,4,Maybe
10/12/2020 15:34:08,,18-25,Colombo,Degree,Student,Not Applicable,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
10/12/2020 15:35:06,Male,18-25,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,5,Yes
10/12/2020 15:37:01,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,Maybe,4,Maybe
10/12/2020 15:37:18,Male,18-25,Galle,Degree,Technology related,between 100000 - 250000,never,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,4,Yes
10/12/2020 15:37:20,Female,18-25,Jaffna,Degree,Technology related,between 50000 - 100000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,3,Maybe
10/12/2020 15:39:45,Female,18-25,Colombo,Degree,Student,between 20000 - 50000,once every few months,Yes,Commercial Bank,advertisement,check balance,5000 -10000,Maybe,No,3,No
10/12/2020 15:40:54,Female,25-30,Kandy,A/L,un employed,Not Applicable,once a month,Yes,peoples bank,from the bank,check balance,below 5000,Yes,No,3,Yes
10/12/2020 15:42:48,Female,18-25,Badulla,Diploma,other,between 20000 - 50000,never,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,No,4,Maybe
10/12/2020 15:43:46,Male,18-25,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,Commercial Bank,from the bank,"check balance, recharge your phone, for credit card",N/A,Yes,No,3,Yes
10/12/2020 15:43:47,Female,25-30,Vavuniya,Degree,Technology related,between 50000 - 100000,once a month,Yes,BOC,from the bank,transfer money to other accounts,below 5000,Maybe,Maybe,3,Maybe
10/12/2020 15:47:39,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once every few months,Maybe,N/A,N/A,"pay bills, recharge your phone",below 5000,N/A,N/A,N/A,Maybe
10/12/2020 15:48:13,Male,18-25,Mullaitivu,Diploma,Student,Not Applicable,never,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 15:49:33,Male,30-35,Colombo,Degree,Management related,between 100000 - 250000,daily,Yes,HNB,from the bank,pay bills,5000 -10000,Yes,No,5,Yes
10/12/2020 15:51:34,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",100000 - 200000,Yes,No,5,Yes
10/12/2020 15:53:37,Male,18-25,Jaffna,Diploma,Student,Not Applicable,never,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,3,No
10/12/2020 15:55:43,Male,25-30,Jaffna,Diploma,un employed,Not Applicable,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,5,Yes
10/12/2020 15:56:25,Female,25-30,Jaffna,Diploma,other,Not Applicable,once a month,No,peoples bank,friend,transfer money to other accounts,below 5000,Maybe,Maybe,4,Maybe
10/12/2020 15:56:44,Male,25-30,Colombo,Degree,Self employed,between 20000 - 50000,once a week,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,5,Yes
10/12/2020 15:56:49,Female,18-25,Gampaha,Degree,Management related,between 20000 - 50000,once a month,Yes,NTB,friend,"transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,4,Yes
10/12/2020 15:57:13,Male,18-25,Colombo,Degree,Technology related,between 50000 - 100000,never,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance",10000 -25000,Maybe,Maybe,3,No
10/12/2020 15:58:43,Female,25-30,Matale,Diploma,other,Not Applicable,once every few months,Yes,peoples bank,from the bank,"transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 16:00:20,Male,18-25,Colombo,Diploma,Student,less than 20000,once a week,Yes,HNB,from the bank,transfer money to other accounts,25000 - 50000,No,No,3,No
10/12/2020 16:00:43,Male,30-35,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,hsbc,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",100000 - 200000,Yes,No,4,Yes
10/12/2020 16:01:20,Female,25-30,Jaffna,Diploma,other,less than 20000,once every few months,Maybe,BOC,from the bank,recharge your phone,below 5000,Yes,Maybe,5,Yes
10/12/2020 16:03:40,Male,18-25,Vavuniya,Degree,Student,Not Applicable,once a month,Yes,BOC,from the bank,"transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Yes
10/12/2020 16:03:54,Female,25-30,Gampaha,Diploma,other,Not Applicable,once every few months,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 16:04:32,Male,25-30,Colombo,Degree,Self employed,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance, recharge your phone",25000 - 50000,Maybe,No,5,Yes
10/12/2020 16:04:39,Male,below 18,Vavuniya,Degree,Student,Not Applicable,once a month,Yes,Commercial Bank,from the bank,"transfer money to other accounts, check balance",5000 -10000,Yes,Yes,4,Yes
10/12/2020 16:08:09,Female,25-30,Kandy,Degree,Other profession with degree,between 20000 - 50000,never,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, recharge your phone",50000 - 100000,Yes,No,4,Yes
10/12/2020 16:08:39,Male,18-25,Colombo,Degree,Technology related,less than 20000,once a month,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Maybe
10/12/2020 16:09:50,Female,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",5000 -10000,Yes,No,4,Yes
10/12/2020 16:17:46,Male,18-25,Jaffna,Degree,Student,less than 20000,once every few months,Yes,Commercial Bank,from the bank,check balance,N/A,Maybe,No,5,Yes
10/12/2020 16:18:25,Female,18-25,Anuradhapura,Degree,physical related,Not Applicable,never,Yes,BOC,from the bank,check balance,N/A,Yes,No,5,Yes
10/12/2020 16:20:24,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,Commercial Bank,from the bank,check balance,N/A,Maybe,No,3,Yes
10/12/2020 16:24:30,Male,25-30,Colombo,Degree,Technology related,above 250000,never,Yes,hsbc,It is obvious that HSBC should have a banking app ðŸ¤“,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",above 200000,Yes,Yes,2,No
10/12/2020 16:24:35,Male,30-35,Colombo,Degree,Management related,between 100000 - 250000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",100000 - 200000,Yes,No,5,Yes
10/12/2020 16:27:57,Male,18-25,Colombo,Degree,Student,Not Applicable,once every few months,Yes,BOC,advertisement,"transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Maybe,Maybe,3,Maybe
10/12/2020 16:28:23,Female,25-30,Ratnapura,Diploma,Student,Not Applicable,once every few months,Yes,peoples bank,from the bank,"transfer money to other accounts, recharge your phone",below 5000,Yes,No,5,Yes
10/12/2020 16:29:54,Male,25-30,Colombo,Degree,Student,Not Applicable,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Maybe,No,4,Yes
