Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 16:31:43,Male,25-30,Galle,Degree,Technology related,between 100000 - 250000,once every few months,Yes,NTB,friend,"transfer money to other accounts, check balance",50000 - 100000,Yes,No,4,Yes
10/12/2020 16:32:55,Female,25-30,Jaffna,Degree,Technology related,between 50000 - 100000,once every few months,Yes,BOC,Boyfriend ,"pay bills, transfer money to other accounts, check balance, recharge your phone",25000 - 50000,Maybe,No,4,Maybe
10/12/2020 16:34:07,Male,25-30,Gampaha,Degree,Student,Not Applicable,once a week,Yes,BOC,friend,"transfer money to other accounts, check balance",10000 -25000,Yes,Yes,2,No
10/12/2020 16:35:16,Male,25-30,Colombo,Degree,Technology related,less than 20000,once every few months,Yes,Commercial Bank,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Maybe,No,4,Maybe
10/12/2020 16:37:16,Male,25-30,Gampaha,Diploma,Technology related,between 50000 - 100000,once a week,Yes,BOC,Relative,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,Yes,3,Yes
10/12/2020 16:39:26,Male,25-30,Gampaha,Degree,Management related,between 50000 - 100000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,5,Yes
10/12/2020 16:39:27,Female,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,HNB,from the bank,transfer money to other accounts,5000 -10000,Yes,No,4,Yes
10/12/2020 16:41:44,Male,30-35,Matale,Degree,Technology related,between 20000 - 50000,never,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Maybe,No,3,Maybe
10/12/2020 16:42:20,Female,25-30,Ampara,Diploma,other,between 20000 - 50000,once every few months,Yes,peoples bank,from the bank,check balance,below 5000,Maybe,Yes,1,No
10/12/2020 16:42:46,Female,18-25,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,HNB,from the bank,"pay bills, transfer money to other accounts",5000 -10000,Yes,No,4,Yes
10/12/2020 16:43:02,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once every few months,Yes,BOC,friend,N/A,100000 - 200000,Maybe,Maybe,3,Yes
10/12/2020 16:45:59,Female,18-25,Vavuniya,Degree,Technology related,between 50000 - 100000,once a month,No,,,,,,,,
10/12/2020 16:47:01,Male,25-30,Colombo,Diploma,other,between 50000 - 100000,never,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,Maybe,4,Yes
10/12/2020 16:47:38,Female,25-30,Badulla,Diploma,other,between 20000 - 50000,once a month,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 16:55:08,Male,18-25,Colombo,Diploma,Student,Not Applicable,once a month,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
10/12/2020 16:55:22,Male,18-25,Colombo,Diploma,Student,Not Applicable,once a month,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
10/12/2020 16:55:58,Male,25-30,Colombo,A/L,other,between 50000 - 100000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,Yes,4,Yes
10/12/2020 16:56:08,Female,18-25,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, check balance, recharge your phone, for credit card",below 5000,Yes,No,4,Yes
10/12/2020 16:57:09,Male,25-30,Colombo,Degree,Management related,less than 20000,once every few months,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",50000 - 100000,Yes,No,4,Maybe
10/12/2020 16:58:57,Female,18-25,Trincomalee,Degree,Student,Not Applicable,once a month,No,,,,,,,,
10/12/2020 17:03:10,Male,45-60,Batticaloa,Degree,Management related,between 20000 - 50000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",25000 - 50000,Yes,Maybe,4,Yes
10/12/2020 17:05:24,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,3,Yes
10/12/2020 17:07:10,Female,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes
10/12/2020 17:07:25,Female,25-30,Colombo,Degree,Other profession with degree,between 20000 - 50000,once every few months,Yes,HNB,friend,transfer money to other accounts,below 5000,No,Yes,N/A,N/A
10/12/2020 17:11:46,Male,18-25,Colombo,Diploma,Student,Not Applicable,once a month,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
10/12/2020 17:17:34,Male,25-30,Colombo,Degree,Other profession with degree,between 50000 - 100000,once every few months,Yes,HNB,N/A,transfer money to other accounts,10000 -25000,Maybe,Yes,4,Yes
10/12/2020 17:18:04,Female,25-30,Matara,Degree,Other profession with degree,between 100000 - 250000,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, for credit card",10000 -25000,Yes,Maybe,3,Maybe
10/12/2020 17:21:47,Female,18-25,Colombo,Diploma,Student,less than 20000,once a month,Yes,Commercial Bank,from the bank,transfer money to other accounts,below 5000,Maybe,Yes,5,Yes
10/12/2020 17:28:01,Male,30-35,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",above 200000,Yes,No,4,Yes
10/12/2020 17:30:42,Male,18-25,Nuwara Eliya,Degree,Student,Not Applicable,once a week,No,BOC,from the bank,check balance,N/A,No,No,3,Yes
10/12/2020 17:30:47,Female,35-45,Colombo,Degree,Other profession with degree,between 50000 - 100000,once a month,Yes,HNB,from the bank,"pay bills, transfer money to other accounts",25000 - 50000,Yes,Yes,3,Yes
10/12/2020 17:31:56,Male,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once a month,Yes,NTB,friend,"pay bills, recharge your phone",5000 -10000,Yes,No,4,Yes
10/12/2020 17:36:25,Male,25-30,Galle,Degree,Technology related,between 50000 - 100000,never,No,BOC,from the bank,N/A,N/A,Maybe,Yes,4,No
10/12/2020 17:39:39,Male,25-30,Gampaha,Degree,Technology related,between 50000 - 100000,once every few months,Yes,NTB,Competition,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
10/12/2020 17:40:26,Female,18-25,Colombo,Diploma,Student,less than 20000,once a month,Yes,Commercial Bank,from the bank,transfer money to other accounts,below 5000,Maybe,Yes,5,Yes
10/12/2020 17:41:49,Male,35-45,Colombo,Degree,Management related,Not Applicable,never,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance",100000 - 200000,Yes,No,4,Yes
10/12/2020 17:45:19,Male,25-30,Colombo,Degree,Self employed,between 100000 - 250000,once a week,Yes,Commercial Bank,from the bank,transfer money to other accounts,50000 - 100000,Maybe,Yes,2,Maybe
10/12/2020 17:49:53,Male,35-45,,Degree,Management related,between 50000 - 100000,once every few months,Yes,HNB,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,5,Yes
10/12/2020 17:52:06,Male,18-25,Colombo,A/L,Student,Not Applicable,once a week,Yes,Commercial Bank,from the bank,N/A,below 5000,Maybe,No,3,Maybe
10/12/2020 17:52:07,Male,35-45,Gampaha,Degree,Management related,less than 20000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,3,Yes
10/12/2020 17:57:03,Male,18-25,Trincomalee,Degree,Student,less than 20000,once every few months,Yes,BOC,advertisement,"transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,Yes,3,Maybe
10/12/2020 17:58:27,Female,18-25,Gampaha,Diploma,other,between 20000 - 50000,once a month,Yes,Commercial Bank,advertisement,"pay bills, transfer money to other accounts, check balance",below 5000,Yes,Maybe,4,Yes
10/12/2020 18:02:31,Male,18-25,Colombo,Diploma,Student,above 250000,once a week,Yes,Commercial Bank,from the bank,pay bills,5000 -10000,Maybe,No,4,Maybe
10/12/2020 18:02:44,Male,18-25,Colombo,Diploma,Student,above 250000,once a week,Yes,Commercial Bank,from the bank,pay bills,5000 -10000,Maybe,No,4,Maybe
10/12/2020 18:03:02,Male,30-35,Colombo,Degree,Management related,between 20000 - 50000,once a week,Yes,Commercial Bank,from the bank,"pay bills, check balance",5000 -10000,Maybe,No,4,Yes
10/12/2020 18:07:32,Male,18-25,Colombo,Diploma,Technology related,between 20000 - 50000,never,Yes,NTB,from the bank,"pay bills, check balance, recharge your phone",below 5000,Yes,Yes,4,Yes
10/12/2020 18:11:23,Male,18-25,Colombo,Degree,Technology related,between 50000 - 100000,daily,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Yes,Yes,5,Yes
10/12/2020 18:19:18,Male,35-45,Colombo,Degree,other,between 50000 - 100000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,Yes,5,Yes
10/12/2020 18:23:49,Female,25-30,Colombo,Degree,Management related,between 50000 - 100000,never,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,Maybe,5,Yes
10/12/2020 18:25:10,Male,25-30,Colombo,Degree,Student,Not Applicable,once every few months,Yes,Commercial Bank,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,4,Yes
10/12/2020 18:28:21,Male,25-30,Kalutara,Degree,Technology related,between 100000 - 250000,once every few months,Yes,NTB,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 18:29:35,Female,18-25,Colombo,Degree,other,between 50000 - 100000,once every few months,Yes,NTB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,5,Yes
10/12/2020 18:31:53,Male,25-30,Colombo,A/L,Self employed,between 20000 - 50000,once a week,Yes,Commercial Bank,from the bank,"pay bills, check balance, recharge your phone",below 5000,Yes,Maybe,4,Maybe
10/12/2020 18:31:58,Male,25-30,Colombo,A/L,Self employed,between 20000 - 50000,once a week,Yes,Commercial Bank,from the bank,"pay bills, check balance, recharge your phone",below 5000,Yes,Maybe,4,Maybe
10/12/2020 18:36:00,Male,25-30,Colombo,Degree,Management related,between 20000 - 50000,once every few months,No,N/A,from the bank,N/A,N/A,Maybe,N/A,N/A,N/A
10/12/2020 18:41:54,Male,25-30,Colombo,Degree,Other profession with degree,between 50000 - 100000,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,4,Yes
10/12/2020 18:49:09,Male,18-25,Colombo,Degree,Student,Not Applicable,once every few months,Maybe,Commercial Bank,advertisement,"pay bills, check balance, recharge your phone",below 5000,Maybe,Maybe,3,Maybe
10/12/2020 18:49:32,Male,25-30,Colombo,Degree,Management related,between 20000 - 50000,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,4,Yes
10/12/2020 18:53:30,Female,25-30,Jaffna,Degree,Technology related,between 20000 - 50000,once every few months,Yes,BOC,from the bank,transfer money to other accounts,5000 -10000,Yes,Yes,4,Yes
10/12/2020 18:55:12,Male,18-25,Vavuniya,Degree,Student,Not Applicable,once every few months,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance",below 5000,Yes,No,4,Yes
10/12/2020 18:59:10,Female,25-30,Gampaha,Diploma,Other profession with degree,between 50000 - 100000,daily,Yes,Commercial Bank,from the bank,transfer money to other accounts,5000 -10000,Yes,No,5,Yes
10/12/2020 19:00:40,Female,25-30,Kurunegala,Degree,Technology related,between 50000 - 100000,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",N/A,Maybe,No,4,Yes
10/12/2020 19:06:27,Male,25-30,Kalutara,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card, N/A",above 200000,Yes,No,5,Yes
10/12/2020 19:09:13,Male,25-30,Vavuniya,Degree,Other profession with degree,between 50000 - 100000,once a month,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,4,Maybe
10/12/2020 19:10:29,Male,25-30,Jaffna,Degree,Management related,between 100000 - 250000,once every few months,Yes,Commercial Bank,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone",above 200000,Yes,No,4,Maybe
10/12/2020 19:11:12,Male,25-30,Kilinochchi,Degree,Other profession with degree,between 20000 - 50000,once a month,No,BOC,from the bank,N/A,N/A,N/A,,N/A,N/A
10/12/2020 19:14:12,Male,25-30,Jaffna,Degree,Student,Not Applicable,once a week,Yes,peoples bank,from the bank,check balance,10000 -25000,Maybe,No,3,No
10/12/2020 19:15:05,Male,18-25,Jaffna,Degree,Technology related,between 50000 - 100000,once a month,Yes,Commercial Bank,from the bank,"pay bills, check balance, recharge your phone",below 5000,No,No,3,Yes
10/12/2020 19:15:59,Female,25-30,Vavuniya,Degree,Technology related,between 50000 - 100000,once a week,No,BOC,friend,"check balance, recharge your phone",5000 -10000,Maybe,Yes,3,No
10/12/2020 19:18:03,Female,25-30,Colombo,Degree,Student,Not Applicable,once a month,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 19:18:18,Male,above 60,Colombo,Degree,Other profession with degree,between 50000 - 100000,once every few months,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,No,5,Yes
10/12/2020 19:21:38,Male,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,Maybe,3,Yes
10/12/2020 19:21:46,Female,25-30,Vavuniya,Degree,Other profession with degree,between 20000 - 50000,once a week,Yes,BOC,from the bank,check balance,10000 -25000,Yes,No,3,Maybe
10/12/2020 19:29:50,Female,25-30,Ratnapura,Diploma,other,between 20000 - 50000,once every few months,Maybe,BOC,friend,check balance,N/A,Yes,Yes,3,Yes
10/12/2020 19:32:03,Male,18-25,Kalutara,Degree,Student,Not Applicable,once every few months,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 19:33:59,Male,18-25,Kandy,Degree,Technology related,between 50000 - 100000,never,Yes,NTB,They conducted a competition in our Campus,"pay bills, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 19:34:37,Female,18-25,Colombo,Degree,Other profession with degree,between 50000 - 100000,once every few months,Yes,Other,from the bank,"transfer money to other accounts, check balance",N/A,Yes,No,4,Maybe
10/12/2020 19:35:25,Female,25-30,Vavuniya,Degree,Management related,between 50000 - 100000,once a week,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 19:35:32,Male,18-25,Mullaitivu,Diploma,Student,less than 20000,once a week,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 19:36:27,Male,35-45,Jaffna,Degree,Management related,between 50000 - 100000,daily,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,4,Yes
10/12/2020 19:39:19,Female,18-25,Colombo,Degree,other,between 20000 - 50000,daily,Yes,,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,Maybe,4,Yes
10/12/2020 19:40:19,Male,25-30,Jaffna,Degree,Management related,between 50000 - 100000,daily,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,Yes,5,Yes
10/12/2020 19:43:04,Male,18-25,Colombo,Degree,Other profession with degree,between 50000 - 100000,never,Yes,Commercial Bank,Form their website,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Maybe,Maybe,3,Maybe
10/12/2020 19:44:02,Female,25-30,Colombo,Diploma,physical related,between 20000 - 50000,once a week,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 19:46:57,Male,18-25,Gampaha,Diploma,other,between 20000 - 50000,once every few months,Yes,Cargills,from the bank,N/A,25000 - 50000,Yes,No,4,Yes
10/12/2020 19:48:46,Female,25-30,Jaffna,Degree,Technology related,between 100000 - 250000,once every few months,Yes,BOC,Bank website,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,4,Yes
10/12/2020 19:49:22,Male,35-45,Jaffna,Degree,Other profession with degree,between 20000 - 50000,once a week,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,Yes,4,Yes
10/12/2020 19:49:48,Female,18-25,Colombo,Degree,Technology related,between 20000 - 50000,once a month,No,,advertisement,,,,,,
10/12/2020 19:52:43,Female,35-45,Colombo,Degree,Management related,between 50000 - 100000,never,Yes,HNB,from the bank,pay bills,25000 - 50000,Yes,No,5,Yes
10/12/2020 20:03:40,Male,30-35,Colombo,Degree,Management related,between 100000 - 250000,daily,Yes,HNB,from the bank,pay bills,5000 -10000,Yes,No,5,Yes
10/12/2020 20:03:36,Male,30-35,Kegalle,Degree,Self employed,between 20000 - 50000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,5,Yes
10/12/2020 20:04:46,Male,18-25,Batticaloa,Degree,Self employed,between 50000 - 100000,once a month,Yes,HNB,from the bank,pay bills,10000 -25000,Yes,No,5,Yes
10/12/2020 20:09:15,Male,18-25,Jaffna,Degree,Student,Not Applicable,once a week,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,4,Maybe
10/12/2020 20:10:45,Female,18-25,Gampaha,Degree,Other profession with degree,between 20000 - 50000,once every few months,No,,,,,,,,
10/12/2020 20:16:43,Male,25-30,Colombo,Degree,Technology related,above 250000,,Yes,NTB,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Maybe,No,3,Yes
10/12/2020 20:21:34,Female,18-25,Jaffna,Degree,Other profession with degree,less than 20000,once every few months,No,,,,,,,,
10/12/2020 20:21:52,Male,35-45,Gampaha,Degree,Management related,less than 20000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,3,Yes
10/12/2020 20:32:50,Male,18-25,Colombo,Diploma,Self employed,between 20000 - 50000,once a week,Yes,Other,friend,transfer money to other accounts,5000 -10000,Yes,Maybe,3,Yes
10/12/2020 20:39:23,Male,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Yes,No,4,Yes
10/12/2020 20:42:34,Male,18-25,Jaffna,A/L,other,between 20000 - 50000,daily,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,5,Yes
10/12/2020 20:51:58,Female,18-25,Batticaloa,Degree,Other profession with degree,between 50000 - 100000,once every few months,No,,,,,,,,
10/12/2020 21:01:37,Female,18-25,Jaffna,Degree,other,between 50000 - 100000,daily,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes
10/12/2020 21:03:25,Female,18-25,Trincomalee,Degree,Technology related,between 20000 - 50000,once every few months,Yes,sampath,friend,transfer money to other accounts,5000 -10000,Maybe,No,4,Yes
10/12/2020 21:11:01,Male,30-35,Colombo,Diploma,Technology related,between 50000 - 100000,once every few months,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,5,Yes
10/12/2020 21:13:20,Female,18-25,Colombo,Degree,Technology related,Not Applicable,once every few months,Yes,BOC,friend,"transfer money to other accounts, recharge your phone",below 5000,Maybe,Maybe,2,Maybe
10/12/2020 21:14:06,Male,25-30,Jaffna,Degree,Technology related,between 50000 - 100000,once every few months,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,3,Yes
10/12/2020 21:17:01,Male,18-25,Jaffna,Degree,Self employed,between 20000 - 50000,once a month,Yes,BOC,from the bank,"transfer money to other accounts, check balance",25000 - 50000,Yes,No,5,Yes
10/12/2020 22:20:33,Male,18-25,Galle,Degree,Technology related,between 100000 - 250000,never,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,4,Yes
10/12/2020 22:25:13,Male,30-35,Gampaha,Degree,Management related,between 100000 - 250000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,5,Yes
10/12/2020 22:39:56,Female,25-30,Colombo,Degree,Other profession with degree,between 20000 - 50000,once a month,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/12/2020 23:24:31,Male,18-25,Colombo,Degree,Other profession with degree,between 20000 - 50000,once a week,Yes,Commercial Bank,friend,check balance,below 5000,Maybe,Yes,5,Yes
10/12/2020 23:25:21,Male,35-45,Jaffna,Degree,Self employed,between 50000 - 100000,once a week,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance",100000 - 200000,Yes,No,1,Yes
10/12/2020 23:46:35,Female,18-25,Colombo,Degree,Student,between 20000 - 50000,once every few months,Yes,Commercial Bank,advertisement,check balance,5000 -10000,Maybe,No,3,No
10/12/2020 23:53:41,Male,25-30,Kalutara,Degree,Other profession with degree,less than 20000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",above 200000,Yes,Maybe,5,Yes
10/12/2020 23:55:31,Male,18-25,Colombo,Diploma,other,less than 20000,once a week,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11/12/2020 08:35:56,Male,35-45,Gampaha,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,4,Yes
11/12/2020 08:35:59,Female,18-25,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,hsbc,from the bank,"pay bills, transfer money to other accounts, check balance",5000 -10000,Yes,No,4,Yes
11/12/2020 10:01:13,Male,18-25,Colombo,Degree,Student,less than 20000,once every few months,Maybe,HNB,from the bank,"check balance, recharge your phone",below 5000,Maybe,Maybe,3,Maybe
11/12/2020 11:39:17,Male,35-45,Colombo,Degree,Management related,between 100000 - 250000,once a month,No,BOC,from the bank,"pay bills, transfer money to other accounts, check balance",10000 -25000,Maybe,No,3,Maybe
11/12/2020 11:43:58,Male,35-45,Colombo,Degree,Technology related,between 100000 - 250000,once a week,Yes,Commercial Bank,from the bank,"pay bills, check balance, recharge your phone, for credit card",below 5000,Yes,No,4,Yes
11/12/2020 12:27:59,Male,18-25,Nuwara Eliya,Degree,Student,Not Applicable,once a week,No,BOC,from the bank,check balance,N/A,No,No,3,Yes
11/12/2020 15:09:30,Female,25-30,Gampaha,Degree,Management related,between 50000 - 100000,never,Yes,Other,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,5,Yes